"Tytuł","Autor nazwisko"," Autor imię","Rok","Wydawnictwo","Rodzaj","ISBN","Liczba stron","Kolor","IDMiejsca"
"Życie warte przeżycia","Linehan","Marsha","2021","Media Rodzina","samorozwój","9788380089365","334","kolorowy","R4"
"Stan umysłu pary","Morgan","Mary","2019","Fundament","psychologia","9788392519874","392","granatowy","R2"
"r","rr","nan","333","rr","ee","33","33","rr","re"
"Komunikacja Terapeutyczna","Wachtel","Paul L.","2012","Uniwersytetu Jagiellońskiego UJ","psychologia","9788323333876","400","zielony","R2"
